emp_no,first_name,last_name,birth_date,current_title,first_hire_date,to_date
84029,Babette,Eugenio,1/27/65,Staff,9/21/97,1/1/99
84179,Shuichi,Nanard,1/25/65,Senior Engineer,3/14/89,1/1/99
84236,Eberhardt,Barriga,1/18/65,Senior Staff,6/4/87,1/1/99
84315,Kristina,Baumann,1/23/65,Assistant Engineer,9/26/96,1/1/99
84451,Shiv,Aumann,1/20/65,Senior Engineer,6/14/98,1/1/99
84508,Tommaso,Vidya,1/17/65,Engineer,5/2/98,1/1/99
84840,Sverrir,Neimat,1/14/65,Staff,11/3/96,1/1/99
84922,Parke,Unno,1/22/65,Engineer,7/1/96,1/1/99
84942,Shin,Fujisaki,1/15/65,Technique Leader,2/23/88,1/1/99
85216,Ferdinand,Rosiles,1/18/65,Senior Staff,7/8/97,1/1/99
85288,Younwoo,Luders,1/6/65,Senior Engineer,3/31/95,1/1/99
85414,Chiradeep,Callaway,1/14/65,Staff,7/30/99,1/1/99
85445,Yongdong,Pollock,1/9/65,Staff,3/17/98,1/1/99
85702,Udi,Merks,1/4/65,Engineer,8/15/97,1/1/99
85874,Pasqua,Taubman,1/30/65,Senior Staff,6/23/86,1/1/99
86213,Kristine,Clemencon,1/28/65,Senior Staff,4/22/90,1/1/99
86354,Ronghao,Segond,1/27/65,Senior Engineer,9/13/93,1/1/99
86422,Jaewon,Thummel,2/1/65,Senior Staff,9/14/85,1/1/99
86546,Oldrich,Woycyznski,1/9/65,Senior Engineer,5/15/85,1/1/99
86655,Zhenhua,Lorys,1/1/65,Engineer,8/21/95,1/1/99
86672,JoAnne,Anido,1/15/65,Staff,9/15/95,1/1/99
87129,Keung,Neiman,1/16/65,Staff,4/13/97,1/1/99
87353,Quingbo,Coombs,1/7/65,Senior Engineer,1/17/99,1/1/99
87714,Khun,Janetzko,1/16/65,Engineer,9/13/89,1/1/99
87729,Yongmin,Roccetti,1/24/65,Senior Staff,12/10/86,1/1/99
87783,Conor,Thorensen,1/26/65,Senior Engineer,2/24/88,1/1/99
88103,Goo,Bresenham,1/9/65,Senior Staff,1/31/99,1/1/99
88411,Lena,Cannane,1/31/65,Engineer,1/28/00,1/1/99
88422,Jungsoon,Birsak,1/28/65,Technique Leader,4/3/85,1/1/99
88647,Vasiliy,Ratnaker,1/10/65,Engineer,8/9/95,1/1/99
88958,Vojin,Coombs,1/22/65,Senior Staff,7/23/95,1/1/99
88965,Mang,Hedayat,1/20/65,Engineer,5/22/95,1/1/99
89048,Otmar,Birjandi,1/24/65,Senior Engineer,3/23/85,1/1/99
89090,Tetsushi,Theuretzbacher,1/26/65,Senior Staff,2/1/90,1/1/99
89161,Conal,Yetto,1/7/65,Senior Staff,1/12/91,1/1/99
89207,Along,Erol,1/15/65,Senior Staff,10/16/92,1/1/99
89346,Mansur,Comyn,1/13/65,Engineer,8/31/99,1/1/99
89590,Guther,Rothenberg,1/27/65,Senior Staff,8/8/91,1/1/99
89664,Pranjal,Rossi,1/20/65,Staff,7/7/98,1/1/99
89680,Aiman,Mawatari,1/27/65,Senior Engineer,5/1/88,1/1/99
89806,Xiadong,Shinomoto,1/27/65,Senior Engineer,5/24/97,1/1/99
89922,Alexius,Ibel,1/26/65,Senior Engineer,4/24/88,1/1/99
89941,Arnould,Weedman,1/23/65,Senior Staff,7/28/89,1/1/99
90077,Vivian,Guerreiro,1/24/65,Engineer,7/8/91,1/1/99
90084,Renny,Bale,1/1/65,Senior Engineer,11/22/89,1/1/99
90211,Bader,Denis,1/15/65,Engineer,10/6/97,1/1/99
90292,Koichi,Assaf,1/9/65,Senior Engineer,5/26/90,1/1/99
90518,Fumiko,Chepyzhov,1/24/65,Senior Staff,1/28/88,1/1/99
90614,Yonghoan,Trogemann,1/29/65,Engineer,9/23/88,1/1/99
90692,Rajmohan,DasSarma,1/3/65,Senior Staff,9/14/85,1/1/99
91172,Kazuhisa,Melter,1/19/65,Senior Staff,7/16/87,1/1/99
91182,Lucien,Schwartzburd,1/4/65,Senior Engineer,8/25/88,1/1/99
91229,Yahiko,Hebden,1/1/65,Senior Engineer,10/3/96,1/1/99
91256,Gunilla,Milicic,1/13/65,Staff,1/9/98,1/1/99
91333,Lobel,Stafford,1/27/65,Staff,11/29/98,1/1/99
91415,Jamaludin,Nilsson,1/4/65,Senior Staff,1/15/87,1/1/99
91648,Dmitry,Msuda,1/29/65,Senior Staff,10/22/88,1/1/99
92438,Aria,Kilgore,1/4/65,Senior Engineer,2/27/89,1/1/99
92454,Visit,McFarlan,1/24/65,Senior Engineer,10/22/87,1/1/99
92577,Zhanqiu,Farrow,1/6/65,Assistant Engineer,1/10/99,1/1/99
92598,Ranga,Merro,1/18/65,Assistant Engineer,5/11/96,1/1/99
92685,Mang,Atchley,1/26/65,Senior Staff,6/7/95,1/1/99
92841,Claude,Candan,1/22/65,Senior Staff,8/4/93,1/1/99
92846,Anyuan,Kropatsch,1/11/65,Senior Staff,9/5/86,1/1/99
92920,Huei,Hutter,1/20/65,Senior Engineer,1/28/93,1/1/99
93040,Jaques,Kabayashi,1/19/65,Senior Engineer,3/13/92,1/1/99
93220,Richara,Walston,1/11/65,Senior Engineer,8/27/96,1/1/99
93278,Magdalena,Penn,2/1/65,Senior Engineer,1/4/97,1/1/99
93549,Arie,Coullard,2/1/65,Senior Staff,4/15/91,1/1/99
93600,Kristina,Neimat,1/13/65,Technique Leader,4/18/88,1/1/99
94331,Ramzi,Cronau,1/26/65,Technique Leader,9/3/99,1/1/99
94416,Aran,Cesareni,1/1/65,Senior Staff,2/10/90,1/1/99
94761,Hitofumi,Zaccaria,1/27/65,Senior Engineer,11/22/88,1/1/99
94944,Heping,Matheson,1/13/65,Senior Engineer,6/24/88,1/1/99
95181,Yishai,Cappelli,1/28/65,Staff,1/30/97,1/1/99
95286,Kristin,Guerreiro,1/18/65,Senior Engineer,8/23/89,1/1/99
95314,Rasiah,Koblick,1/22/65,Senior Staff,8/21/91,1/1/99
95406,Alair,Lyonns,1/8/65,Engineer,7/12/97,1/1/99
95416,Gianluca,Ramaiah,1/13/65,Engineer,11/29/93,1/1/99
95509,Kristinn,Loncour,1/11/65,Engineer,2/8/95,1/1/99
95920,Nobuyoshi,Hegner,1/19/65,Senior Staff,9/7/94,1/1/99
96571,Kokou,Garrabrants,1/13/65,Senior Engineer,11/5/97,1/1/99
96579,Mohan,Tasistro,1/18/65,Engineer,2/10/96,1/1/99
96767,Arumugam,Vecchio,1/7/65,Senior Engineer,8/14/85,1/1/99
97018,Jeanna,Chinen,1/9/65,Senior Engineer,1/1/89,1/1/99
97623,Haldon,Janetzko,1/25/65,Senior Staff,9/11/90,1/1/99
97661,Avishai,Hegner,1/31/65,Senior Staff,5/8/93,1/1/99
98288,Sumali,Huttel,1/12/65,Senior Staff,9/12/89,1/1/99
98306,Ziya,Kadhim,1/16/65,Senior Engineer,11/2/95,1/1/99
98639,Florina,Assaf,1/29/65,Staff,5/18/96,1/1/99
99057,Shugo,Reeken,1/30/65,Staff,6/21/99,1/1/99
99373,Xiaobin,Christianini,1/13/65,Senior Staff,12/25/85,1/1/99
99377,Carrsten,Francisci,1/18/65,Senior Engineer,6/16/91,1/1/99
99590,Dhritiman,Anily,1/24/65,Staff,12/16/98,1/1/99
99654,Mahendra,Motley,1/30/65,Senior Staff,9/28/85,1/1/99
100865,Hisao,Peral,1/19/65,Senior Engineer,10/3/90,1/1/99
100916,Heejo,Aamodt,1/18/65,Senior Engineer,4/22/92,1/1/99
101487,Abdelaziz,Sury,1/14/65,Senior Staff,1/31/91,1/1/99
101647,Mori,Homond,1/22/65,Senior Staff,5/10/94,1/1/99
101902,Mantis,Millington,1/14/65,Senior Staff,3/18/91,1/1/99
102620,Adin,Templeman,1/3/65,Engineer,12/10/97,1/1/99
103196,Djenana,Albarhamtoshy,1/16/65,Senior Staff,7/16/88,1/1/99
103310,Visit,Swen,1/7/65,Senior Staff,10/2/95,1/1/99
103316,Susanne,Peternell,1/3/65,Senior Engineer,7/27/94,1/1/99
103342,Beshir,Hellwagner,1/3/65,Engineer,2/3/98,1/1/99
103756,Heping,Halloran,1/31/65,Engineer,4/8/92,1/1/99
104133,Pranjal,Zyda,1/31/65,Senior Staff,7/3/91,1/1/99
104845,Werner,Lodder,1/29/65,Senior Staff,6/17/92,1/1/99
104988,Parviz,Litzler,1/7/65,Senior Engineer,8/8/92,1/1/99
105342,Kwun,Reeker,1/1/65,Technique Leader,7/29/99,1/1/99
105356,Diederik,Matzov,1/29/65,Senior Engineer,5/12/88,1/1/99
105432,Mohamadou,Stafford,1/8/65,Senior Engineer,9/12/95,1/1/99
105520,Haldun,Lienhardt,1/1/65,Senior Staff,1/29/87,1/1/99
105731,Sachem,Cromarty,1/15/65,Engineer,8/20/90,1/1/99
106096,Naftali,Schurmann,1/14/65,Senior Engineer,12/2/92,1/1/99
106242,Nevio,Thisen,2/1/65,Senior Staff,3/25/88,1/1/99
106695,Lijie,Garrabrants,1/31/65,Senior Staff,10/2/85,1/1/99
106710,Babette,Anandan,1/31/65,Senior Staff,11/22/86,1/1/99
107486,Siamak,Luiz,1/23/65,Senior Engineer,2/11/87,1/1/99
107737,Fabrizio,Chleq,1/23/65,Senior Engineer,7/31/99,1/1/99
107792,Shahab,Crooks,1/13/65,Senior Staff,3/18/92,1/1/99
107828,Ramya,Walston,1/26/65,Senior Staff,2/3/89,1/1/99
108091,Hisao,Ghemri,1/9/65,Senior Staff,11/14/85,1/1/99
108198,Randi,Samarati,1/24/65,Senior Staff,10/20/92,1/1/99
108316,Shai,Stellhorn,1/2/65,Senior Engineer,5/21/92,1/1/99
108988,Oksana,Baek,1/19/65,Senior Staff,7/20/89,1/1/99
109062,Jamaludin,Kandlur,2/1/65,Senior Engineer,6/19/92,1/1/99
109211,Gor,Delgrande,1/11/65,Senior Engineer,11/7/95,1/1/99
109252,Moty,Winter,1/15/65,Technique Leader,4/28/91,1/1/99
109278,Bangqing,Schach,1/21/65,Senior Staff,3/22/88,1/1/99
109552,Menkae,Etalle,1/31/65,Engineer,5/21/97,1/1/99
109598,Stamatina,Auyong,2/1/65,Senior Staff,7/5/88,1/1/99
109620,Mani,Cannata,1/2/65,Senior Staff,6/21/89,1/1/99
109703,Arco,Walston,1/17/65,Engineer,8/16/99,1/1/99
109741,Hatem,Fadgyas,1/11/65,Senior Engineer,11/13/91,1/1/99
109953,Godehard,Chorvat,1/26/65,Senior Staff,4/10/88,1/1/99
200267,Chuanti,Luff,1/8/65,Senior Staff,9/21/94,1/1/99
200312,Akemi,Fujisaki,1/27/65,Senior Engineer,6/25/98,1/1/99
200363,Kirk,Quaggetto,1/10/65,Senior Engineer,6/30/87,1/1/99
200735,Dinah,Denos,1/9/65,Senior Staff,9/21/92,1/1/99
200789,Susumu,Camurati,1/14/65,Senior Staff,12/15/91,1/1/99
201229,Alejandra,Khasidashvili,1/3/65,Staff,7/30/94,1/1/99
201708,Anneli,Perl,1/15/65,Senior Staff,9/8/92,1/1/99
201709,Fan,Kakkad,1/1/65,Senior Staff,2/25/88,1/1/99
201739,Genta,Terekhov,1/16/65,Assistant Engineer,7/21/98,1/1/99
201801,Waiman,Genin,1/12/65,Senior Engineer,10/30/88,1/1/99
201915,Sudharsan,DeMori,1/2/65,Senior Engineer,3/30/92,1/1/99
202291,Ortrun,Schmiedel,1/16/65,Engineer,7/18/97,1/1/99
202403,Gully,Perko,1/9/65,Engineer,7/7/99,1/1/99
202414,Zvonko,Murthy,1/13/65,Senior Staff,1/7/92,1/1/99
202552,Morris,Saoudi,1/5/65,Senior Engineer,11/22/91,1/1/99
202826,Kerhong,Matzke,1/19/65,Senior Engineer,11/14/86,1/1/99
202882,Isaac,Koshino,1/25/65,Senior Engineer,9/28/95,1/1/99
202950,Giordano,Pietrzykowski,1/17/65,Senior Staff,3/26/87,1/1/99
203474,Hugh,Jonsson,1/3/65,Senior Staff,7/6/91,1/1/99
203495,Zongyan,Gips,1/2/65,Technique Leader,5/31/97,1/1/99
203599,Ewing,DiGiano,1/21/65,Technique Leader,2/1/00,1/1/99
203720,Sasan,Thimonier,1/30/65,Senior Staff,8/21/96,1/1/99
203946,Yefim,Marwedel,1/23/65,Senior Staff,3/30/93,1/1/99
204117,Jessie,Nooteboom,1/10/65,Staff,8/13/99,1/1/99
204133,Susuma,Bergere,1/22/65,Senior Staff,2/25/96,1/1/99
204246,Arve,Worfolk,1/9/65,Senior Staff,4/1/85,1/1/99
204425,Gretta,Huttel,1/3/65,Senior Engineer,10/8/90,1/1/99
204470,Hein,Lichtner,1/22/65,Senior Staff,4/3/95,1/1/99
204471,Franziska,Maginnis,1/27/65,Senior Engineer,2/17/86,1/1/99
204764,Susanne,Mandelberg,1/22/65,Senior Engineer,11/2/90,1/1/99
205018,Yahiko,Awdeh,1/26/65,Engineer,8/5/98,1/1/99
205085,Moni,Kornyak,1/23/65,Technique Leader,9/26/91,1/1/99
205174,Leszek,Spinelli,1/5/65,Staff,12/10/98,1/1/99
205500,Mary,Setiz,1/4/65,Senior Engineer,1/13/89,1/1/99
205627,Stabislas,Broder,1/21/65,Senior Engineer,7/16/96,1/1/99
205660,Kien,Barreiro,1/27/65,Staff,8/25/97,1/1/99
205699,Youjian,Yetto,1/31/65,Senior Staff,12/7/94,1/1/99
205789,Limsoon,Skafidas,1/31/65,Senior Staff,8/10/99,1/1/99
205863,Aiichiro,Kusalik,1/6/65,Senior Engineer,10/4/90,1/1/99
206748,Yucai,Fabrizio,1/7/65,Staff,10/6/99,1/1/99
206836,Guadalupe,Pfau,1/12/65,Senior Staff,3/22/93,1/1/99
206966,Tzu,Sichman,1/21/65,Senior Engineer,11/17/87,1/1/99
207021,Jacqueline,Akaboshi,1/20/65,Engineer,12/6/97,1/1/99
207068,Zhiguo,Ariola,1/13/65,Senior Staff,9/7/94,1/1/99
207204,Kellie,Schrooten,1/25/65,Engineer,1/17/91,1/1/99
207401,Shuji,Barbanera,1/4/65,Senior Staff,8/10/87,1/1/99
207551,Baziley,Falck,1/15/65,Assistant Engineer,2/18/95,1/1/99
207779,Chinya,Kamble,1/16/65,Senior Staff,5/31/92,1/1/99
207980,Remko,Vieth,1/7/65,Senior Staff,11/22/90,1/1/99
208147,Manu,Rothenberg,1/9/65,Senior Engineer,12/6/88,1/1/99
208330,Shen,Flanders,1/11/65,Senior Staff,7/3/89,1/1/99
208639,Larisa,Lukaszewicz,1/27/65,Senior Staff,10/10/89,1/1/99
208653,Phillip,Schade,1/23/65,Senior Engineer,3/3/89,1/1/99
208784,Pranjal,Juneja,1/30/65,Senior Engineer,3/21/85,1/1/99
209101,Xinyu,Edelhoff,1/5/65,Senior Engineer,10/26/97,1/1/99
209443,Krassimir,Garnier,1/19/65,Senior Staff,1/26/98,1/1/99
209565,Dante,Covnot,1/9/65,Senior Staff,5/28/89,1/1/99
209712,Nimmagadda,Baak,1/17/65,Engineer,10/30/87,1/1/99
210017,Shalesh,Lovengreen,1/28/65,Senior Staff,9/29/90,1/1/99
210292,Lihong,Zeilberger,1/18/65,Staff,4/28/96,1/1/99
210449,Gino,Lagarias,1/19/65,Engineer,6/22/97,1/1/99
210752,Saniya,Stenning,1/25/65,Senior Staff,12/10/86,1/1/99
210786,Werner,Ranze,1/31/65,Staff,6/5/98,1/1/99
211858,Domenico,Ratnaker,1/8/65,Senior Engineer,3/24/85,1/1/99
211879,Gao,Ranze,1/12/65,Senior Engineer,11/24/94,1/1/99
211967,Anwar,Bain,1/7/65,Senior Engineer,1/22/89,1/1/99
212093,Leni,Henders,1/11/65,Senior Staff,11/19/93,1/1/99
212154,Sailaja,Holburn,1/17/65,Senior Staff,3/4/91,1/1/99
212361,Claudi,Stanfel,1/16/65,Senior Engineer,1/7/96,1/1/99
213016,Yongmao,Fontan,1/22/65,Senior Engineer,7/26/93,1/1/99
213140,Tru,Danecki,1/10/65,Staff,3/31/97,1/1/99
213384,Pranas,Narwekar,1/4/65,Senior Engineer,9/26/85,1/1/99
213447,Armond,Perly,2/1/65,Senior Engineer,9/14/89,1/1/99
214215,Xiaoqiang,Cardazo,1/25/65,Senior Staff,5/28/93,1/1/99
214391,Rayond,Klassen,1/15/65,Senior Staff,9/11/93,1/1/99
214427,Peer,Molberg,1/29/65,Engineer,11/17/96,1/1/99
214539,Ingmar,Kohling,1/27/65,Engineer,4/25/95,1/1/99
214634,Shirish,Vickson,1/12/65,Senior Engineer,10/24/89,1/1/99
214789,Arfst,Chepyzhov,1/28/65,Senior Engineer,2/6/89,1/1/99
214866,Gopalakrishnan,Angel,2/1/65,Senior Engineer,7/5/97,1/1/99
214995,Dinkar,Hoppenstand,1/12/65,Engineer,5/4/94,1/1/99
215419,Flemming,Kroha,1/16/65,Staff,1/23/95,1/1/99
215629,Munehiro,Manders,1/15/65,Senior Staff,5/18/87,1/1/99
215746,Sven,Speer,1/8/65,Staff,7/8/99,1/1/99
215843,Pramod,Loncour,1/30/65,Senior Staff,3/31/87,1/1/99
216054,Sahrah,Angiulli,1/24/65,Senior Staff,7/31/86,1/1/99
216342,Aiichiro,Cromarty,1/22/65,Senior Engineer,6/10/95,1/1/99
216375,Byong,Gustavson,1/16/65,Senior Engineer,3/12/85,1/1/99
216502,Xiaocheng,Suermann,1/26/65,Engineer,12/15/97,1/1/99
216573,Ashish,Vidya,1/29/65,Senior Engineer,6/16/89,1/1/99
216921,Lena,Lenart,1/22/65,Senior Staff,12/25/90,1/1/99
217026,Otmar,Engberts,1/11/65,Senior Staff,8/16/93,1/1/99
217080,Masami,Puoti,1/12/65,Senior Engineer,1/21/00,1/1/99
217272,Yuchang,Eldridge,1/21/65,Senior Staff,8/1/86,1/1/99
217286,Yannik,Spelt,1/5/65,Technique Leader,9/22/92,1/1/99
217320,Abdelwaheb,Denis,1/10/65,Engineer,9/10/93,1/1/99
217363,Horward,Marzano,1/14/65,Staff,4/11/96,1/1/99
217387,Jianhao,Molenaar,1/21/65,Senior Engineer,10/22/87,1/1/99
217551,Panayotis,Lukaszewicz,1/2/65,Senior Engineer,6/6/89,1/1/99
217800,Shay,Servieres,2/1/65,Senior Staff,8/6/98,1/1/99
218022,Mokhtar,Poupard,1/26/65,Technique Leader,2/2/92,1/1/99
218100,Jiong,Garnham,1/24/65,Senior Staff,1/2/90,1/1/99
218831,Unal,DuBourdieux,1/16/65,Engineer,3/13/96,1/1/99
219035,Kristine,Bierman,1/18/65,Technique Leader,5/13/88,1/1/99
219047,Aemilian,Kusalik,1/30/65,Senior Engineer,5/27/87,1/1/99
219052,Marsal,Acton,1/6/65,Staff,8/2/95,1/1/99
219417,Subhrajyoti,Denna,1/29/65,Staff,7/25/96,1/1/99
219497,Moie,Zastre,1/22/65,Technique Leader,10/11/91,1/1/99
219967,Susanna,Reeken,1/16/65,Senior Staff,3/16/98,1/1/99
220029,Demos,Asser,1/17/65,Senior Engineer,11/4/85,1/1/99
220131,Reinhard,Slaats,1/9/65,Senior Engineer,6/8/94,1/1/99
220418,Poorav,Laventhal,1/23/65,Staff,8/16/97,1/1/99
220528,Sibyl,Rabehasaina,1/6/65,Senior Staff,2/23/98,1/1/99
220582,Poornachandra,Zielinski,1/8/65,Senior Staff,2/13/96,1/1/99
220611,Yuping,Babb,1/23/65,Senior Staff,1/31/95,1/1/99
220625,Shigenori,Deville,1/25/65,Technique Leader,12/24/92,1/1/99
220699,Nahid,Gyimothy,1/7/65,Staff,8/18/95,1/1/99
220799,Perla,Orlowska,1/17/65,Senior Engineer,12/3/90,1/1/99
221126,Tesuya,dAstous,1/23/65,Senior Engineer,11/29/88,1/1/99
221367,Saddek,Farris,1/13/65,Senior Staff,11/6/90,1/1/99
221369,Abdulah,Pocchiola,1/28/65,Engineer,8/28/96,1/1/99
221435,Djenana,Marrevee,1/6/65,Senior Engineer,2/6/94,1/1/99
221973,Sangeeta,Kalefeld,1/17/65,Senior Staff,6/6/90,1/1/99
222206,Stein,Uludag,1/21/65,Senior Staff,1/30/88,1/1/99
222311,Miyeon,Billingsley,1/20/65,Senior Engineer,12/5/92,1/1/99
222319,Matt,Chvatal,1/20/65,Senior Engineer,11/9/94,1/1/99
222354,Valdiodio,Schlumberger,1/15/65,Engineer,8/7/93,1/1/99
222616,Badri,Schapire,2/1/65,Assistant Engineer,1/19/98,1/1/99
222770,Kazuhiko,Kushner,1/22/65,Senior Engineer,8/1/95,1/1/99
222878,Annemarie,Zallocco,1/10/65,Senior Engineer,5/28/90,1/1/99
222926,Limsoon,Erol,1/10/65,Senior Engineer,12/31/97,1/1/99
222952,Gopalakrishnan,Suermann,1/28/65,Senior Engineer,4/30/91,1/1/99
222998,Leaf,Awdeh,1/7/65,Senior Staff,2/20/85,1/1/99
223593,Hidefumi,Moehrke,1/20/65,Staff,3/4/98,1/1/99
223595,Chiranjit,Dredge,2/1/65,Technique Leader,9/5/99,1/1/99
224135,Annemarie,Bressoud,1/2/65,Engineer,6/23/98,1/1/99
224335,Perry,Chachaty,1/29/65,Senior Engineer,7/22/85,1/1/99
224390,TRUE,Shobatake,1/24/65,Senior Staff,5/17/96,1/1/99
224934,George,Miake,1/5/65,Senior Staff,1/2/88,1/1/99
225438,Remmert,Quaggetto,1/14/65,Senior Staff,4/28/92,1/1/99
225601,Masasuke,Genin,1/13/65,Engineer,6/25/94,1/1/99
225788,Ipke,Kieras,1/8/65,Engineer,12/18/95,1/1/99
225867,Ramalingam,Remmele,1/26/65,Senior Engineer,9/3/99,1/1/99
225964,Mooi,Cooman,1/19/65,Senior Engineer,6/7/89,1/1/99
226216,Giordano,Gini,1/28/65,Technique Leader,8/14/93,1/1/99
226227,Herbert,Erva,1/7/65,Senior Engineer,9/6/86,1/1/99
227354,Gio,Murtha,1/12/65,Senior Engineer,11/11/86,1/1/99
227476,Macha,Schnabel,1/11/65,Senior Engineer,5/11/88,1/1/99
227681,Mikhail,Rousseau,1/30/65,Staff,11/30/98,1/1/99
227899,Garnik,Luce,1/23/65,Staff,9/15/98,1/1/99
227901,Francesca,Azuma,1/26/65,Senior Staff,6/8/96,1/1/99
228098,IEEE,Kroll,1/18/65,Engineer,5/10/97,1/1/99
228248,Yuriy,Plump,1/9/65,Senior Staff,9/8/88,1/1/99
228554,Bilhanan,Brendel,1/3/65,Senior Staff,12/23/90,1/1/99
228766,Nahla,Smailagic,1/11/65,Senior Engineer,11/22/91,1/1/99
229098,Berry,Yurek,1/8/65,Senior Staff,8/16/95,1/1/99
229220,Fabrizio,Lichtman,1/21/65,Senior Engineer,2/9/87,1/1/99
229248,Harjit,Terekhov,1/27/65,Staff,10/19/95,1/1/99
229386,Pohua,Tasistro,1/3/65,Technique Leader,6/2/89,1/1/99
229391,Paloma,Henseler,1/15/65,Senior Engineer,6/11/91,1/1/99
229404,Gilbert,Kilgour,1/11/65,Staff,4/5/96,1/1/99
229547,Moni,Schach,1/3/65,Senior Staff,7/4/86,1/1/99
229727,Ewing,Millington,1/23/65,Engineer,9/28/99,1/1/99
229981,Jamaludin,Fordan,1/19/65,Senior Engineer,2/6/92,1/1/99
230002,Tadahiro,Backhouse,1/7/65,Senior Engineer,10/2/91,1/1/99
230126,Bezalel,Radivojevic,1/31/65,Senior Staff,7/2/88,1/1/99
230287,Renny,Alameldin,1/14/65,Assistant Engineer,9/28/97,1/1/99
230354,Yinghua,Lorho,1/31/65,Senior Staff,8/9/91,1/1/99
230498,Kolar,Puppo,1/15/65,Senior Engineer,4/25/90,1/1/99
230579,Shahar,Negoita,1/17/65,Senior Staff,3/19/94,1/1/99
230689,Dietrich,Crabtree,1/14/65,Senior Staff,5/24/86,1/1/99
230865,Takushi,Brattka,1/2/65,Staff,3/9/99,1/1/99
231069,Trygve,Siksek,1/22/65,Staff,11/9/95,1/1/99
231459,Nectarios,Pramanik,1/28/65,Assistant Engineer,11/18/99,1/1/99
231671,Chandrasekaran,Pearson,1/7/65,Staff,4/14/95,1/1/99
231798,Goetz,Alvarado,1/28/65,Senior Engineer,12/25/88,1/1/99
232178,Etsuo,Anandan,1/29/65,Senior Staff,12/13/89,1/1/99
232209,Nitsan,Rouquie,1/11/65,Senior Engineer,8/1/88,1/1/99
232697,Barry,Ramsak,1/23/65,Senior Engineer,9/7/90,1/1/99
232723,Tesuya,Bugrara,1/14/65,Engineer,2/13/93,1/1/99
233114,Alselm,Gargeya,1/20/65,Senior Engineer,12/25/87,1/1/99
233394,Khalid,Lenart,1/6/65,Engineer,12/24/95,1/1/99
233397,Fay,Sundgren,1/16/65,Senior Staff,7/7/90,1/1/99
233426,Etsuo,Usery,1/12/65,Senior Engineer,3/2/95,1/1/99
233690,Cedric,Riefers,1/17/65,Engineer,9/8/94,1/1/99
233759,Zissis,Lodder,1/14/65,Engineer,9/25/99,1/1/99
233765,Kotesh,Chachaty,1/20/65,Senior Engineer,3/25/91,1/1/99
233785,Baziley,Ballarin,1/30/65,Senior Staff,7/28/87,1/1/99
233818,Kellie,Heydon,1/1/65,Senior Engineer,11/11/85,1/1/99
234195,Luerbio,Terkki,1/7/65,Senior Staff,5/14/91,1/1/99
234739,Foong,Aamodt,1/31/65,Senior Engineer,6/28/86,1/1/99
235017,Irena,Dratva,1/17/65,Senior Staff,9/7/91,1/1/99
235096,Sverrir,Gyimothy,1/21/65,Senior Staff,3/21/87,1/1/99
235325,Gro,Prochazka,1/6/65,Senior Engineer,10/16/92,1/1/99
235368,Anneli,Joslin,1/9/65,Senior Engineer,4/12/87,1/1/99
235458,Gio,Heuser,1/5/65,Senior Staff,6/28/92,1/1/99
235729,Henk,Anger,2/1/65,Senior Staff,1/19/93,1/1/99
235780,Sampalli,Bergere,1/17/65,Senior Engineer,4/8/94,1/1/99
235793,Jayesh,Spinelli,1/3/65,Senior Engineer,7/18/92,1/1/99
236315,IEEE,Raczkowsky,1/31/65,Technique Leader,7/24/96,1/1/99
236566,Yechezkel,Maginnis,1/17/65,Senior Staff,12/11/92,1/1/99
236591,Insup,Reinhard,1/11/65,Senior Staff,4/8/85,1/1/99
236827,Almudena,Rijckaert,1/28/65,Senior Engineer,2/16/94,1/1/99
236883,Huan,Olivero,1/27/65,Staff,11/19/99,1/1/99
236964,Adel,Foote,1/17/65,Staff,8/19/98,1/1/99
238112,Miomir,Frezza,1/12/65,Technique Leader,5/25/91,1/1/99
238252,Uno,Suppi,1/9/65,Staff,12/27/96,1/1/99
238422,Vishv,Angelov,1/10/65,Senior Staff,3/8/88,1/1/99
238949,Minghong,Cronin,1/9/65,Senior Staff,10/4/87,1/1/99
239067,Tadahiko,Pocchiola,1/11/65,Staff,4/2/96,1/1/99
239244,Abdulla,Kitai,1/13/65,Senior Staff,2/20/87,1/1/99
239415,Susumu,Brender,1/1/65,Senior Engineer,4/17/93,1/1/99
239426,Vesna,Fairtlough,1/8/65,Engineer,8/9/94,1/1/99
239664,Sugwoo,Michaels,1/4/65,Senior Engineer,8/2/92,1/1/99
239706,Arunas,Bugrara,1/15/65,Assistant Engineer,4/3/97,1/1/99
239748,Bilhanan,Dusink,1/23/65,Senior Staff,6/4/88,1/1/99
239803,Oscal,Ernst,1/30/65,Senior Staff,5/19/92,1/1/99
240132,Mizuhito,Kobara,2/1/65,Senior Staff,8/9/96,1/1/99
240236,TRUE,Tischendorf,1/24/65,Senior Engineer,1/19/86,1/1/99
240285,Kolar,Greenaway,1/23/65,Staff,11/14/98,1/1/99
240340,Mack,Staylopatis,1/14/65,Senior Engineer,4/2/85,1/1/99
240438,Temple,Cyre,1/2/65,Senior Staff,9/30/92,1/1/99
240870,Francesca,Chorvat,1/6/65,Senior Staff,3/3/85,1/1/99
241100,Cedric,Molenaar,1/23/65,Senior Engineer,10/6/90,1/1/99
241254,Jagoda,Anguita,1/15/65,Senior Engineer,5/11/93,1/1/99
241292,Uri,Lampe,1/29/65,Senior Staff,10/17/87,1/1/99
